DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1
3685.875,132.226,102.299,5.2,66.83,2.737
3686,131.334,98.734,5.666,66.795,2.742
3686.125,131.848,95.376,6.058,66.733,2.741
3686.25,133.462,92.773,6.324,66.633,2.738
3686.375,134.799,91.575,6.435,66.502,2.736
3686.5,134.972,92.046,6.388,66.374,2.736
3686.625,134.215,94.03,6.184,66.29,2.737
3686.75,133.561,96.535,5.881,66.285,2.737
3686.875,133.443,98.752,5.546,66.383,2.735
3687,133.781,100.614,5.22,66.6,2.731
3687.125,134.333,102.607,4.892,66.938,2.726
3687.25,135.692,104.771,4.568,67.374,2.72
3687.375,138.259,106.923,4.233,67.867,2.713
3687.5,141.409,108.709,3.917,68.382,2.705
3687.625,143.779,110.299,3.663,68.904,2.697
3687.75,144.323,112.073,3.499,69.415,2.692
3687.875,143.13,113.882,3.435,69.866,2.69
3688,141.185,115.112,3.497,70.18,2.693
3688.125,139.177,115.3,3.689,70.294,2.699
3688.25,137.373,114.443,3.983,70.198,2.708
3688.375,135.957,112.802,4.336,69.947,2.719
3688.5,135.287,110.602,4.715,69.631,2.732
3688.625,136.039,108.227,5.084,69.345,2.746
3688.75,138.176,106.117,5.463,69.159,2.758
3688.875,140.916,104.541,5.872,69.103,2.762
3689,143.593,103.57,6.267,69.179,2.757
3689.125,145.871,103.056,6.604,69.381,2.746
3689.25,147.496,102.986,6.836,69.697,2.732
3689.375,147.953,103.609,6.949,70.096,2.719
3689.5,146.847,104.742,6.991,70.517,2.708
3689.625,144.705,105.764,7.01,70.886,2.701
3689.75,142.756,105.672,7.043,71.152,2.696
3689.875,141.53,103.819,7.117,71.315,2.694
3690,140.766,100.634,7.221,71.416,2.694
3690.125,140.013,97.497,7.315,71.511,2.696
3690.25,139.433,95.875,7.34,71.659,2.701
3690.375,139.402,96.216,7.279,71.906,2.705
3690.5,139.772,97.593,7.173,72.285,2.706
3690.625,139.999,98.693,7.087,72.792,2.704
3690.75,139.733,98.789,7.064,73.371,2.703
3690.875,139.098,98.003,7.089,73.928,2.705
3691,138.427,97.015,7.113,74.376,2.708
3691.125,137.89,96.201,7.085,74.663,2.709
3691.25,137.403,95.806,6.957,74.78,2.708
3691.375,137.004,95.903,6.723,74.736,2.708
3691.5,136.97,96.457,6.387,74.554,2.712
3691.625,137.604,97.39,5.978,74.266,2.721
3691.75,138.814,98.492,5.574,73.902,2.73
3691.875,140.175,99.618,5.257,73.485,2.734
3692,141.186,100.705,5.074,73.033,2.732
3692.125,141.294,101.577,5.025,72.575,2.727
3692.25,140.399,102.216,5.025,72.16,2.722
3692.375,139.038,102.826,5.003,71.838,2.718
3692.5,138.385,104.145,4.918,71.636,2.718
3692.625,139.383,106.958,4.758,71.549,2.72
3692.75,141.813,110.936,4.566,71.546,2.722
3692.875,144.739,114.797,4.419,71.585,2.719
3693,147.619,117.116,4.402,71.619,2.71
3693.125,150.266,117.417,4.535,71.607,2.701
3693.25,152.559,116.124,4.785,71.526,2.694
3693.375,154.052,113.741,5.087,71.375,2.694
3693.5,154.151,110.762,5.375,71.177,2.7
3693.625,153.024,107.992,5.596,70.962,2.707
3693.75,151.511,106.145,5.734,70.758,2.713
