DEPTH,GR_1,KTH_1,URAN_1,AC_1,DEN_1,0
3436.75,148.065,110.56,4.978,74.95,2.629,0
3436.875,145.284,112.973,4.316,74.971,2.62,0
3437,141.313,113.637,3.749,75.038,2.613,0
3437.125,137.355,112.85,3.373,75.223,2.61,0
3437.25,134.574,111.143,3.246,75.492,2.613,0
3437.375,133.566,109.16,3.362,75.825,2.619,0
3437.5,134.411,107.451,3.653,76.221,2.621,0
3437.625,136.629,105.977,4.07,76.706,2.616,0
3437.75,139.425,104.602,4.547,77.247,2.603,0
3437.875,141.303,103.08,4.962,77.729,2.588,0
3438,141.495,101.59,5.203,78.014,2.577,0
3438.125,140.508,100.961,5.217,78.058,2.575,0
3438.25,140.05,102.407,5.009,77.876,2.58,0
3438.375,140.963,105.942,4.663,77.562,2.588,0
3438.5,142.845,110.098,4.332,77.242,2.594,0
3438.625,144.41,113.05,4.128,77.003,2.596,0
3438.75,145.045,114.032,4.083,76.892,2.595,0
3438.875,144.869,113.617,4.13,76.849,2.591,0
3439,144.337,112.826,4.182,76.827,2.587,0
3439.125,143.499,111.956,4.203,76.846,2.584,0
3439.25,142.538,111.069,4.204,76.939,2.583,0
3439.375,141.783,110.269,4.208,77.081,2.581,0
3439.5,141.543,109.548,4.25,77.225,2.579,0
3439.625,141.529,108.342,4.379,77.318,2.577,0
3439.75,141.206,106.069,4.622,77.354,2.576,0
3439.875,139.949,101.998,5.013,77.361,2.579,0
3440,137.897,96.377,5.533,77.36,2.586,0
3440.125,135.74,90.619,6.064,77.354,2.593,0
3440.25,134.292,86.289,6.477,77.324,2.598,0
3440.375,133.875,84.026,6.709,77.228,2.598,0
3440.5,134.221,83.571,6.775,77.027,2.594,0
3440.625,134.38,83.818,6.736,76.714,2.588,0
3440.75,133.81,84.229,6.615,76.367,2.586,0
3440.875,132.646,85.191,6.37,76.046,2.588,0
3441,131.712,87.333,5.988,75.752,2.594,0
3441.125,131.583,90.556,5.538,75.482,2.601,0
3441.25,132.037,94.093,5.108,75.244,2.607,0
3441.375,132.326,96.962,4.758,75.061,2.609,0
3441.5,132.192,98.742,4.518,74.965,2.606,0
3441.625,132.266,99.579,4.427,74.942,2.6,0
3441.75,133.592,99.559,4.573,74.969,2.594,0
3441.875,136.135,98.663,4.949,75.007,2.594,0
3442,138.285,96.689,5.418,74.911,2.598,0
3442.125,138.051,93.53,5.783,74.65,2.602,0
3442.25,133.171,88.599,5.852,74.164,2.602,0
3442.375,123.194,81.746,5.57,73.423,2.597,0
3442.5,110.822,74.196,5.083,72.442,2.592,0
3442.625,100.857,68.985,4.562,71.374,2.59,0
3442.75,97.872,69.116,4.172,70.503,2.595,0
3442.875,102.649,74.889,3.977,70.075,2.603,0
3443,112.167,83.833,3.946,70.162,2.611,0
3443.125,122.423,92.766,4.015,70.752,2.613,0
3443.25,130.687,99.445,4.147,71.739,2.607,0
3443.375,135.831,103.234,4.281,72.901,2.595,0
3443.5,138.119,104.643,4.402,73.956,2.582,0
3443.625,138.091,103.959,4.539,74.642,2.573,0
3443.75,137.023,102.008,4.73,74.975,2.57,0
3443.875,135.751,99.56,4.957,75.096,2.574,0
3444,134.988,97.135,5.223,75.156,2.582,0
3444.125,135.481,95.189,5.551,75.258,2.594,0
3444.25,137.259,93.984,5.913,75.406,2.605,0
3444.375,139.619,93.264,6.263,75.591,2.611,0
3444.5,141.425,92.597,6.54,75.804,2.61,0
3444.625,142.147,91.866,6.708,76.008,2.603,0
3444.75,141.883,91.146,6.762,76.102,2.595,0
3444.875,140.676,90.887,6.638,75.959,2.588,0
3445,138.545,91.308,6.308,75.596,2.583,0
3445.125,135.869,92.264,5.842,75.089,2.582,0
3445.25,133.626,93.377,5.398,74.519,2.581,0
3445.375,132.647,94.555,5.097,73.931,2.581,0
3445.5,132.96,95.896,4.934,73.362,2.581,0
3445.625,133.765,97.433,4.817,72.881,2.58,0
3445.75,134.266,98.922,4.682,72.569,2.58,0
3445.875,133.801,100.088,4.484,72.38,2.58,0
3446,132.458,100.817,4.236,72.268,2.583,0
3446.125,130.596,101.295,3.966,72.214,2.586,0
3446.25,128.994,101.732,3.728,72.203,2.586,0
3446.375,128.241,102.193,3.578,72.228,2.583,0
3446.5,128.491,102.731,3.522,72.244,2.578,0
3446.625,129.27,103.215,3.53,72.251,2.574,0
3446.75,130.013,103.393,3.577,72.24,2.572,0
3446.875,130.243,102.989,3.652,72.233,2.572,0
3447,130.058,102.022,3.761,72.241,2.571,0
3447.125,129.87,100.621,3.927,72.257,2.572,0
3447.25,130.036,99.033,4.152,72.273,2.574,0
3447.375,130.427,97.494,4.394,72.31,2.577,0
3447.5,130.701,96.105,4.605,72.38,2.58,0
3447.625,130.926,95.255,4.746,72.464,2.58,0
3447.75,131.447,95.366,4.798,72.52,2.575,0
3447.875,132.5,96.349,4.794,72.541,2.569,0
3448,133.548,97.242,4.807,72.552,2.563,0
3448.125,133.87,97.094,4.886,72.583,2.562,0
3448.25,133.155,95.354,5.069,72.627,2.565,0
3448.375,132.076,92.689,5.323,72.644,2.57,0
3448.5,131.388,90.01,5.605,72.612,2.575,0
3448.625,131.508,88.006,5.868,72.562,2.578,0
3448.75,132.093,86.729,6.08,72.522,2.577,0
3448.875,132.516,86.022,6.2,72.511,2.576,0
3449,132.152,85.508,6.214,72.504,2.575,0
3449.125,130.987,85.086,6.128,72.48,2.576,0
3449.25,129.211,84.638,5.982,72.422,2.579,0
3449.375,127.232,84.132,5.826,72.36,2.58,0
3449.5,125.498,83.65,5.697,72.315,2.581,0
3449.625,124.554,83.532,5.609,72.327,2.58,0
3449.75,124.938,84.12,5.548,72.445,2.579,0
3449.875,126.627,85.614,5.505,72.658,2.577,0
3450,128.98,87.607,5.486,72.95,2.573,0
3450.125,131.176,89.458,5.5,73.297,2.566,0
