DEPTH,GR_3,KTH_1,URAN_1,AC_1,DEN_1,POR,real_value,pred_value
4028.69,139.879,50.242,11.833,72.222,2.53607,4.68,4.679999828338623,4.320000171661377
4029.94,109.34,41.235,9.75,70.796,2.54932,6.21,6.210000038146973,4.110000133514404
4031.19,156.05,62.764,12.677,71.035,2.5123,5.39,5.389999866485596,4.400000095367432
4032.19,266.111,78.72,23.68,71.533,2.55555,4.49,4.489999771118164,4.150000095367432
4033.19,174.647,72.256,13.748,74.193,2.53193,5.73,5.730000019073486,4.699999809265137
4034.315,105.737,53.23,7.745,78.555,2.54525,5.11,5.110000133514404,4.050000190734863
4035.19,153.923,75.302,10.048,76.366,2.56703,6.05,6.050000190734863,4.610000133514404
4036.44,88.946,53.065,4.897,72.769,2.55258,5.96,5.960000038146973,3.740000009536743
4037.44,104.799,83.114,2.921,71.339,2.64705,1.67,1.6699999570846558,3.549999952316284
4038.44,107.555,92.31,2.131,69.146,2.74006,1.88,1.8799999952316284,3.380000114440918
4039.44,126.929,98.992,3.679,68.818,2.68799,3.94,3.940000057220459,3.3399999141693115
4040.315,110.561,101.223,1.239,67.456,2.68799,2.7,2.700000047683716,3.559999942779541
4041.44,96.578,86.808,1.275,61.505,2.71474,1.93,1.9299999475479126,3.240000009536743
4042.19,49.239,44.398,0.666,59.263,2.76545,1.96,1.9600000381469727,3.259999990463257
