DEPTH,GR_3,KTH_1,URAN_1,AC_1,DEN_1
3953.44,137.623,122.021,2.169,76.212,2.6774
3953.565,140.435,123.153,2.381,76.627,2.67908
3953.69,142.351,122.144,2.766,77.059,2.68168
3953.815,143.858,119.522,3.312,77.386,2.68168
3953.94,145.284,115.824,3.985,77.539,2.67908
3954.065,146,112.887,4.472,77.495,2.67318
3954.19,145.915,111.431,4.674,77.34,2.66677
3954.315,145.645,112.088,4.563,77.153,2.65947
3954.44,145.548,114.098,4.278,77.041,2.65395
3954.565,145.361,116.213,3.964,77.078,2.65351
3954.69,144.539,117.261,3.717,77.305,2.66162
3954.815,142.715,116.622,3.576,77.657,2.67547
3954.94,140.501,114.69,3.56,77.998,2.69073
3955.065,139.316,113.382,3.576,78.16,2.70162
3955.19,138.902,112.761,3.59,78.044,2.70911
3955.315,137.968,112.366,3.525,77.669,2.71201
3955.44,135.569,111.798,3.326,77.156,2.71171
3955.565,134.184,112.736,3.04,76.745,2.70684
3955.69,136.059,116.043,2.83,76.588,2.69933
3955.815,140.656,119.673,2.924,76.754,2.69274
3955.94,144.703,121.587,3.182,77.153,2.68858
3956.065,146.189,120.687,3.501,77.714,2.68614
3956.19,146.046,118.109,3.857,78.317,2.686
3956.315,145.934,115.435,4.227,78.862,2.687
3956.44,146.71,114.031,4.51,79.253,2.687
3956.565,148.381,114.318,4.646,79.362,2.68378
3956.69,149.7,115.223,4.65,79.085,2.67674
3956.815,149.188,115.886,4.478,78.375,2.66921
3956.94,147.028,115.877,4.21,77.438,2.66866
3957.065,144.234,114.813,4.02,76.488,2.67584
3957.19,141.803,112.405,4.053,75.776,2.68671
3957.315,140.143,110.004,4.196,75.413,2.69575
3957.44,140.477,108.796,4.391,75.397,2.69889
3957.565,142.278,108.752,4.588,75.592,2.69592
3957.69,143.773,109.172,4.687,75.848,2.69149
3957.815,143.565,109.185,4.668,76.122,2.68818
3957.94,141.705,108.85,4.523,76.41,2.68892
3958.065,139.849,108.852,4.326,76.72,2.69318
3958.19,140.124,110.363,4.164,77.058,2.69574
3958.315,142.992,112.486,4.232,77.383,2.69209
3958.44,146.938,114.425,4.445,77.626,2.68292
3958.565,149.366,115.207,4.623,77.705,2.67371
3958.69,149.391,114.987,4.668,77.643,2.67191
3958.815,147.773,113.716,4.68,77.497,2.67868
3958.94,146.557,112.899,4.662,77.36,2.68789
3959.065,147.172,113.906,4.584,77.329,2.693
3959.19,148.466,115.953,4.437,77.469,2.68957
3959.315,148.245,116.471,4.343,77.774,2.6775
3959.44,147.458,115.609,4.383,78.162,2.6617
3959.565,148.068,115.148,4.521,78.552,2.64855
3959.69,149.8,115.261,4.696,78.843,2.64258
3959.815,150.832,114.934,4.846,78.97,2.64333
3959.94,149.976,113.137,4.987,78.898,2.65291
3960.065,147.945,110.73,5.074,78.695,2.66608
3960.19,145.16,108.105,5.093,78.431,2.68088
3960.315,142.328,105.432,5.116,78.201,2.69049
3960.44,140.245,103.115,5.198,78.095,2.694
3960.565,139.404,101.823,5.289,78.151,2.69218
3960.69,140.583,102.241,5.369,78.325,2.68891
3960.815,143.872,103.292,5.63,78.516,2.68682
3960.94,149.385,104.857,6.099,78.649,2.686
3961.065,156.827,107.798,6.612,78.666,2.68453
3961.19,163.799,111.254,6.998,78.578,2.68168
3961.315,166.739,112.523,7.198,78.44,2.6775
3961.44,164.933,110.573,7.299,78.356,2.67639
3961.565,161.163,108.082,7.273,78.382,2.67805
3961.69,159,107.964,7.084,78.55,2.68
3961.815,158.72,110.082,6.753,78.818,2.67969
3961.94,158.927,113.775,6.244,79.134,2.67805
3962.065,159.454,118.29,5.655,79.414,2.68078
3962.19,160.1,122.643,5.108,79.602,2.68864
3962.315,159.332,125.046,4.676,79.703,2.69921
3962.44,155.826,122.744,4.556,79.782,2.70451
